clone_pair,start_commit,end_commit,genealogy
src/tests/com/puppycrawl/tools/checkstyle/CheckerTest.java^767^804+src/tests/com/puppycrawl/tools/checkstyle/CheckerTest.java^806^827,9ad2352,ad0a4e6,"C,AB,4065b43,4-I,AB,1a7694f,6-I,A,c682b57,6-I,AB,7b7eea6,6-I,AB,98d883b,21-I,AB,563f765,3-I,AB,18d65a1,2-C,AB,1efd41a,14-C,AB,c2b22a7,14-I,AB,da628ac,44"
src/tests/com/puppycrawl/tools/checkstyle/AvoidStarImportTest.java^16^29+src/tests/com/puppycrawl/tools/checkstyle/WhitespaceAroundTest.java^15^28,0fdfc2f,e77f0c5,"C,B,8313819,1-I,AB,49b2c72,24"
src/tests/com/puppycrawl/tools/checkstyle/RedundantModifierTest.java^14^29+src/tests/com/puppycrawl/tools/checkstyle/WhitespaceAroundTest.java^15^30,85db5df,2439710,"I,AB,49b2c72,26"
src/tests/com/puppycrawl/tools/checkstyle/AvoidStarImportTest.java^16^29+src/tests/com/puppycrawl/tools/checkstyle/RedundantModifierTest.java^14^27,85db5df,e77f0c5,"I,AB,49b2c72,25"
src/tests/com/puppycrawl/tools/checkstyle/RedundantModifierTest.java^14^27+src/tests/com/puppycrawl/tools/checkstyle/WhitespaceAroundTest.java^15^28,85db5df,2439710,"I,AB,49b2c72,22"
src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java^293^312+src/checkstyle/com/puppycrawl/tools/checkstyle/Checker.java^393^414,b84b3fd,8529845,"I,B,4cbd709,22"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^1353^1407+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/IllegalInstantiationCheck.java^136^188,ce175a8,e20d456,"I,A,1efd41a,55"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^1325^1345+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/LeftCurlyCheck.java^45^65,2213adc,8083866,"I,A,1bba9f0,21"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^1349^1364+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/LeftCurlyCheck.java^69^84,2213adc,8083866,"I,A,1bba9f0,16"
src/checkstyle/com/puppycrawl/tools/checkstyle/TreeViewer.java^66^78+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/ParseTreeInfoPanel.java^114^128,d3433c9,dcf0d77,"I,B,c28f32e,13"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^102^117+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^129^144,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^102^117+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^156^171,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^102^117+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^183^198,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^129^144+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^156^171,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^129^144+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^183^198,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^156^171+src/checkstyle/com/puppycrawl/tools/checkstyle/gui/AbstractTreeTableModel.java^183^198,d3433c9,2439710,"C,AB,35d1673,2-C,AB,b6d3766,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocTypeCheck.java^28^42+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocVariableCheck.java^54^68,4d9e56e,2439710,"C,AB,eecd476,5-C,B,663a1a7,3-C,B,e7556f4,3-I,A,661274b,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^190^208+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocTypeCheck.java^56^69,c75f97d,2439710,"C,A,e7556f4,4-I,B,661274b,2"
src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^190^211+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocVariableCheck.java^53^74,c75f97d,2439710,"C,AB,e7556f4,7"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^45^98+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^47^97,c75f97d,4cbd709,"C,B,e7556f4,1-I,A,1321eda,45-I,A,75f0ef8,2-I,B,851bdcd,14"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^212^227+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^221^236,c75f97d,3bcc2c1,"I,A,d75ea91,16"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^629^667+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^250^289,c75f97d,3bcc2c1,"I,A,d75ea91,39"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^674^707+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^344^377,c75f97d,3bcc2c1,"I,A,d75ea91,34"
src/checkstyle/com/puppycrawl/tools/checkstyle/Verifier.java^750^804+src/checkstyle/com/puppycrawl/tools/checkstyle/checks/JavadocMethodCheck.java^439^494,c75f97d,3bcc2c1,"I,A,d75ea91,55"
src/checkstyle/com/puppycrawl/tools/checkstyle/GlobalProperties.java^154^168+src/tests/com/puppycrawl/tools/checkstyle/ConfigurationTest.java^79^94,3c0608f,41db8be,"I,A,52d9d94,5-I,B,08f2b31,6"
src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^125^145+src/checkstyle/com/puppycrawl/tools/checkstyle/api/AutomaticBean.java^154^176,3020319,2439710,"I,A,b3caa3b,1-I,A,e8d0253,2-I,A,ee6de76,1-I,AB,eeba08c,9-I,A,5d7063c,3-I,AB,2c02a73,3-I,A,c2d3932,1-I,AB,35d1673,9-I,AB,e50e1fc,6-I,B,38bd8f7,1"
