clone_pair,start_commit,end_commit,genealogy
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^74^95+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^74^95,13af8cb,b36dc81,"I,B,121ae54,3"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^101^139+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^101^139,13af8cb,b36dc81,"I,B,544a477,3-I,B,121ae54,12"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^142^164+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^142^164,13af8cb,b36dc81,"I,B,544a477,2"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^188^236+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^188^236,13af8cb,b36dc81,"I,B,121ae54,13"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^239^414+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^239^414,13af8cb,b36dc81,"I,B,544a477,5-I,B,121ae54,43"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^450^583+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^450^583,13af8cb,b36dc81,"I,B,544a477,5-I,B,121ae54,61"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^632^731+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^632^731,13af8cb,b36dc81,"I,B,544a477,3-I,B,121ae54,15"
src/com/itmill/toolkit/data/util/ContainerHierarchicalWrapper.java^323^389+src/com/itmill/toolkit/data/util/HierarchicalContainer.java^159^223,13af8cb,d85eed4,"C,B,544a477,8-C,AB,121ae54,12-I,A,40a6331,1-I,AB,f2e3722,132"
src/com/itmill/toolkit/ui/AbstractComponent.java^516^546+src/com/itmill/toolkit/ui/CustomComponent.java^211^243,13af8cb,d85eed4,"C,AB,121ae54,12-I,AB,f2e3722,58"
src/com/itmill/toolkit/event/ListenerMethod.java^285^301+src/com/itmill/toolkit/event/ListenerMethod.java^332^348,13af8cb,d85eed4,"I,AB,f2e3722,34"
src/com/itmill/toolkit/ui/Form.java^164^188+src/com/itmill/toolkit/ui/Form.java^202^226,13af8cb,d85eed4,"C,B,544a477,1-C,B,121ae54,1-I,AB,f2e3722,50"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^329^351+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^329^351,13af8cb,b36dc81,"I,B,544a477,1"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^329^351+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^354^374,13af8cb,b36dc81,"I,B,544a477,1"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^354^374+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^329^351,13af8cb,b36dc81,"I,B,544a477,1"
src/com/itmill/toolkit/terminal/ajax/VariableMap.java^354^374+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^354^374,13af8cb,b36dc81,"I,B,544a477,1"
src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^329^351+src/com/itmill/toolkit/terminal/web/HttpVariableMap.java^354^374,13af8cb,b36dc81,"C,AB,544a477,2"
