clone_pair,start_commit,end_commit,genealogy
examples/ml-imp2.0/parser/kernelCPreK.java^26^38+tools/antlr/antlrTest.java^27^39,8d2e80d,0382bf7,"C,A,901a612,2"
examples/matchC/parser/kernelCPreK.java^18^34+examples/ml-imp2.0/parser/kernelCPreK.java^23^37,97fd8f4,0382bf7,"I,A,9572aa8,3"
examples/matchC/parser/kernelCPreK.java^40^53+examples/ml-imp2.0/parser/kernelCPreK.java^44^57,97fd8f4,e92c8ad,"I,A,9572aa8,14"
examples/matchC/parser/kernelCPreK.java^55^69+examples/ml-imp2.0/parser/kernelCPreK.java^59^73,97fd8f4,0382bf7,"I,A,9572aa8,13"
examples/matchC/parser/kernelCPreK.java^40^53+tools/antlr/antlrTest.java^27^39,97fd8f4,e92c8ad,"I,A,9572aa8,14"
examples/matchC/parser/TreeUtils.java^19^33+examples/ml-imp2.0/parser/kernelCPreK.java^59^73,df18ba2,0382bf7,"C,A,4c3bf87,1"
examples/matchC/parser/KernelCPreK.java^22^38+examples/ml-imp2.0/parser/kernelCPreK.java^23^36,df18ba2,0382bf7,"I,A,4c3bf87,15"
examples/matchC/parser/TreeUtils.java^105^123+examples/matchC/parser/TreeUtils.java^128^145,4c3bf87,40dbae1,"I,B,037252b,18"
javasources/K3Java/src/main/Main.java^30^48+javasources/K3Java/src/main/Main.java^52^70,7fb626a,4cbe94d,"I,AB,cbb99ff,38"
javasources/K3Java/src/k3parser/KParser.java^58^88+javasources/K3Java/src/k3parser/KParser.java^218^248,7fb626a,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/k3parser/KParser.java^90^120+javasources/K3Java/src/k3parser/KParser.java^218^248,7fb626a,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/k3parser/KParser.java^122^152+javasources/K3Java/src/k3parser/KParser.java^218^248,7fb626a,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/k3parser/KParser.java^154^184+javasources/K3Java/src/k3parser/KParser.java^218^248,7fb626a,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/k3parser/KParser.java^186^216+javasources/K3Java/src/k3parser/KParser.java^218^248,7fb626a,80606db,"C,B,01a8e34,31"
javasources/K3Java/src/k3/basic/Context.java^35^49+javasources/K3Java/src/k3/basic/Rule.java^38^52,7fb626a,e457748,"C,AB,b187f1e,2-C,AB,4b6fdb8,2-C,AB,443ec2c,2-C,AB,2a5dae5,2"
javasources/K3Java/src/k2parser/KParser.java^20^51+javasources/K3Java/src/k3parser/KParser.java^283^314,7fb626a,e457748,"I,B,7d89a73,1"
javasources/K3Java/src/k3/basic/Definition.java^155^160+javasources/K3Java/src/k3/basic/Definition.java^293^298,7fb626a,3195d04,"I,A,ca109bb,2-I,A,cbb99ff,2-I,A,a3069da,1-I,A,0ce8853,10"
javasources/K3Java/src/k3/basic/Definition.java^160^174+javasources/K3Java/src/k3/basic/Definition.java^296^308,7fb626a,e457748,"I,A,0ce8853,12-I,A,e076643,1-I,A,2323568,2-I,A,7550828,1-I,A,03f3d18,2-C,A,01a8e34,13-I,B,3665426,11-I,A,c57bc39,2"
javasources/K3Java/src/k3/basic/Definition.java^323^332+javasources/K3Java/src/k3/basic/Definition.java^365^374,7fb626a,c04f005,"C,B,c33523c,10"
javasources/K3Java/src/k2parser/KParser.java^27^51+javasources/K3Java/src/k3parser/KParser.java^225^248,7fb626a,80606db,"C,B,01a8e34,24"
javasources/K3Java/src/k3parser/KParser.java^33^56+javasources/K3Java/src/k3parser/KParser.java^225^248,7fb626a,80606db,"C,B,01a8e34,24"
javasources/K3Java/src/k3parser/KParser.java^65^88+javasources/K3Java/src/k3parser/KParser.java^225^248,7fb626a,80606db,"C,B,01a8e34,24"
javasources/K3Java/src/k3parser/KParser.java^97^120+javasources/K3Java/src/k3parser/KParser.java^225^248,7fb626a,80606db,"I,B,01a8e34,24"
