clone_pair,start_commit,end_commit,genealogy
src/main/java/com/tightdb/example/ManualWorkingExample.java^34^44+src/main/java/com/tightdb/example/WorkingExample.java^39^49,fd67203,2b66f6d,"I,A,aa13a5d,10-I,B,cd8b931,1-I,B,65b155d,1-I,B,93c5575,11"
src/main/java/com/tightdb/example/generated/PersonTable.java^43^58+src/main/java/com/tightdb/example/generated/PersonTable.java^62^76,aa13a5d,21a73f5,"C,A,adffbe9,1"
src/main/java/com/tightdb/generated/EmployeeTable.java^35^50+src/main/java/com/tightdb/generated/EmployeeTable.java^55^68,cd8b931,3e82979,"C,A,adffbe9,1-I,AB,2145990,31"
src/main/java/com/tightdb/example/ManualWorkingExample.java^14^24+src/main/java/com/tightdb/example/WorkingExample.java^25^35,cd8b931,a1c56d7,"I,B,93c5575,1-I,AB,de11c08,2-I,A,e631919,2-I,AB,caba6e5,4-I,AB,7be0037,8"
src/main/java/com/tightdb/example/generated/PersonTable.java^43^60+src/main/java/com/tightdb/generated/EmployeeTable.java^35^53,cd8b931,21a73f5,"C,AB,adffbe9,2"
src/main/java/com/tightdb/example/generated/PersonTable.java^62^76+src/main/java/com/tightdb/generated/EmployeeTable.java^35^50,cd8b931,21a73f5,"C,B,adffbe9,1"
src/main/java/com/tightdb/example/generated/PhoneTable.java^8^14+src/main/java/com/tightdb/generated/PhoneTable.java^12^17,035fa3a,21a73f5,"I,A,7cc1cea,2-C,B,041aa4f,2-C,B,cedeaf0,1-I,A,9fb60e7,2"
src/main/java/com/tightdb/example/ManualWorkingExample.java^20^46+src/main/java/com/tightdb/example/WorkingExample.java^47^67,ce52cdc,a1c56d7,"C,A,e631919,5-C,AB,caba6e5,8-I,AB,7be0037,12"
src/main/java/com/tightdb/example/EmployeeSearchExample.java^17^46+src/main/java/com/tightdb/example/SearchExample.java^17^46,ba05512,a1c56d7,"I,A,5f9461e,3-I,AB,7be0037,20"
src/main/java/com/tightdb/generated/EmployeeTable.java^17^24+src/main/java/com/tightdb/generated/EmployeeView.java^14^21,ba05512,a0ace99,"C,AB,66e7d0b,16"
