clone_pair,start_commit,end_commit,genealogy
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^65^81+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^153^168,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^65^81+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^178^193,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^65^81+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^225^241,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^65^81+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^313^328,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^65^81+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^338^353,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^153^168+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^178^193,697fd66aa,e505cee39,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^153^168+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^225^241,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^153^168+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^313^328,697fd66aa,e505cee39,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^153^168+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^338^353,697fd66aa,e505cee39,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^178^193+rxjava-core/src/test/java/rx/operators/OperationMinMaxTest.java^225^241,697fd66aa,e505cee39,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
