CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,22,5,I,161,0.0,3,1,0,0,0.0,INC,0,1,0,1,0,0,167.8,False,"I,B,121ae54,3"
False,39,5,I,155,0.0,3,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,3-I,B,121ae54,12"
False,39,5,I,161,0.0,12,2,0,0,0.0,INC,0,2,0,2,0,0,5.6,False,"I,B,544a477,3-I,B,121ae54,12"
False,23,5,I,155,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,2"
False,49,5,I,161,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,167.8,False,"I,B,121ae54,13"
False,176,5,I,155,0.0,5,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,5-I,B,121ae54,43"
False,176,5,I,161,0.0,43,2,0,0,0.0,INC,0,2,0,2,0,0,5.6,False,"I,B,544a477,5-I,B,121ae54,43"
False,134,5,I,155,0.0,5,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,5-I,B,121ae54,61"
False,134,5,I,161,0.0,61,2,0,0,0.0,INC,0,2,0,2,0,0,5.6,False,"I,B,544a477,5-I,B,121ae54,61"
False,100,5,I,155,0.0,3,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,3-I,B,121ae54,15"
False,100,5,I,161,0.0,15,2,0,0,0.0,INC,0,2,0,2,0,0,5.6,False,"I,B,544a477,3-I,B,121ae54,15"
False,67,6,C,155,0.0,8,1,0,0,0.0,SYNC,1,0,1,0,0,0,162.2,False,"C,B,544a477,8-C,AB,121ae54,12-I,A,40a6331,1-I,AB,f2e3722,132"
False,67,6,C,161,0.0,12,2,0,0,0.0,SYNC,2,0,2,0,0,0,5.6,False,"C,B,544a477,8-C,AB,121ae54,12-I,A,40a6331,1-I,AB,f2e3722,132"
False,67,6,I,192,0.0,1,3,0,0,0.0,DIV,2,1,2,0,0,1,20.0,False,"C,B,544a477,8-C,AB,121ae54,12-I,A,40a6331,1-I,AB,f2e3722,132"
False,67,6,I,149,0.0,132,4,0,0,0.0,DIV,2,2,2,1,0,1,195.3,False,"C,B,544a477,8-C,AB,121ae54,12-I,A,40a6331,1-I,AB,f2e3722,132"
False,33,5,C,161,0.0,12,1,0,0,0.0,SYNC,1,0,1,0,0,0,167.8,False,"C,AB,121ae54,12-I,AB,f2e3722,58"
False,33,5,I,149,0.0,58,2,0,0,0.0,DIV,1,1,1,0,0,1,215.4,False,"C,AB,121ae54,12-I,AB,f2e3722,58"
False,17,6,I,149,0.0,34,1,0,0,0.0,INC,0,1,0,1,0,0,383.2,False,"I,AB,f2e3722,34"
False,25,6,C,155,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,162.2,False,"C,B,544a477,1-C,B,121ae54,1-I,AB,f2e3722,50"
False,25,6,C,161,0.0,1,2,0,0,0.0,SYNC,2,0,2,0,0,0,5.6,False,"C,B,544a477,1-C,B,121ae54,1-I,AB,f2e3722,50"
False,25,6,I,149,0.0,50,3,0,0,0.0,DIV,2,1,2,0,0,1,215.4,False,"C,B,544a477,1-C,B,121ae54,1-I,AB,f2e3722,50"
False,23,5,I,155,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,1"
False,23,5,I,155,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,1"
False,23,5,I,155,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,1"
False,21,5,I,155,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,162.2,False,"I,B,544a477,1"
False,23,7,C,155,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,162.2,False,"C,AB,544a477,2"
False,26,6,C,155,0.0,6,1,0,0,0.0,SYNC,1,0,1,0,0,0,162.2,False,"C,AB,544a477,6-I,AB,121ae54,28"
False,26,6,I,161,0.0,28,2,0,0,0.0,DIV,1,1,1,0,0,1,5.6,False,"C,AB,544a477,6-I,AB,121ae54,28"
False,34,6,C,18,0.0,37,1,0,0,0.0,SYNC,1,0,1,0,0,0,93.4,False,"C,AB,341e214,37-I,AB,08d20d9,14-I,B,44083ec,3-I,B,5095ef1,4-I,B,0a66354,3-I,B,f31172e,3"
