CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,56,3,C,8,0.0,4,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False,"C,AB,0de0b79,4"
False,58,3,C,8,0.0,10,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False,"C,AB,0de0b79,10"
False,46,3,C,8,0.0,2,1,1,1,0.0,SYNC,1,0,1,0,0,0,0.0,False,"C,AB,0de0b79,2"
False,23,8,I,11,0.0,23,1,0,0,0.0,INC,0,1,0,1,0,0,28.5,True,"I,AB,8a93d43,23-I,AB,0499645,4"
True,23,8,I,21,0.5,4,2,0,0,1.0,INC,0,2,0,2,0,0,16.3,True,"I,AB,8a93d43,23-I,AB,0499645,4"
False,18,8,I,11,0.0,35,1,0,0,0.0,INC,0,1,0,1,0,0,28.5,True,"I,AB,8a93d43,35"
False,18,8,I,15,0.0,32,1,0,0,0.0,INC,0,1,0,1,0,0,2.8,True,"I,AB,c91b3b7,32-I,A,8a93d43,1-I,A,50dfb77,1"
False,18,8,I,11,0.0,1,2,0,0,1.0,INC,0,2,0,2,0,0,25.7,True,"I,AB,c91b3b7,32-I,A,8a93d43,1-I,A,50dfb77,1"
True,18,8,I,6,0.333,1,3,0,0,1.0,INC,0,3,0,3,0,0,1.1,True,"I,AB,c91b3b7,32-I,A,8a93d43,1-I,A,50dfb77,1"
False,22,8,I,11,0.0,22,1,0,0,0.0,INC,0,1,0,1,0,0,28.5,True,"I,AB,8a93d43,22-I,AB,0499645,4"
True,22,8,I,21,0.5,4,2,0,0,1.0,INC,0,2,0,2,0,0,16.3,True,"I,AB,8a93d43,22-I,AB,0499645,4"
False,24,8,C,11,0.0,14,1,0,0,0.0,SYNC,1,0,1,0,0,0,28.5,True,"C,AB,8a93d43,14-I,AB,0499645,6"
True,24,8,I,21,0.5,6,2,0,0,1.0,DIV,1,1,1,0,0,1,16.3,True,"C,AB,8a93d43,14-I,AB,0499645,6"
False,24,8,I,11,0.0,24,1,0,0,0.0,INC,0,1,0,1,0,0,28.5,True,"I,AB,8a93d43,24-I,AB,0499645,6"
True,24,8,I,21,0.5,6,2,0,0,1.0,INC,0,2,0,2,0,0,16.3,True,"I,AB,8a93d43,24-I,AB,0499645,6"
False,23,9,I,58,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,75.3,True,"I,B,b3bc19e,1"
False,16,9,I,58,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,75.3,True,"I,B,b3bc19e,1"
False,17,7,I,37,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,66.1,False,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,17,7,I,102,0.0,1,2,0,0,0.0,INC,0,2,0,2,0,0,470.9,True,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,17,7,I,453,0.0,17,3,0,0,0.5,INC,0,3,0,3,0,0,1340.4,True,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,23,9,I,58,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,75.3,True,"I,B,b3bc19e,1"
False,17,9,I,58,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,75.3,True,"I,B,b3bc19e,1"
False,17,7,I,37,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,66.1,False,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,17,7,I,102,0.0,1,2,0,0,0.0,INC,0,2,0,2,0,0,470.9,True,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,17,7,I,453,0.0,17,3,0,0,0.5,INC,0,3,0,3,0,0,1340.4,True,"I,B,5c92690,1-I,B,df9ad9b,1-I,B,8612288,17"
False,23,9,I,58,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,75.3,True,"I,AB,b3bc19e,2"
False,23,7,I,37,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,66.1,False,"I,B,5c92690,1-I,A,b3bc19e,1-I,B,df9ad9b,1-I,B,8612288,17"
