CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,13,0,C,23,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,3.9,False,"C,A,901a612,2"
False,17,1,I,67,0.0,3,1,0,0,0.0,INC,0,1,0,1,0,0,18.0,False,"I,A,9572aa8,3"
False,14,1,I,67,0.0,14,1,0,0,0.0,INC,0,1,0,1,0,0,18.0,False,"I,A,9572aa8,14"
False,15,1,I,67,0.0,13,1,0,0,0.0,INC,0,1,0,1,0,0,18.0,False,"I,A,9572aa8,13"
False,14,0,I,67,0.0,14,1,0,0,0.0,INC,0,1,0,1,0,0,18.0,False,"I,A,9572aa8,14"
False,15,1,C,90,0.0,1,1,0,0,0.0,SYNC,1,0,1,0,0,0,36.9,False,"C,A,4c3bf87,1"
False,17,1,I,90,0.0,15,1,0,0,0.0,INC,0,1,0,1,0,0,36.9,False,"I,A,4c3bf87,15"
False,19,4,I,121,0.0,18,1,0,0,0.0,INC,0,1,0,1,0,0,42.0,False,"I,B,037252b,18"
False,19,5,I,98,0.0,38,1,0,0,0.0,INC,0,1,0,1,0,0,60.2,False,"I,AB,cbb99ff,38"
False,31,5,C,137,0.0,31,1,0,0,0.0,SYNC,1,0,1,0,0,0,105.0,False,"C,B,01a8e34,31"
False,31,5,C,137,0.0,31,1,0,0,0.0,SYNC,1,0,1,0,0,0,105.0,False,"C,B,01a8e34,31"
False,31,5,C,137,0.0,31,1,0,0,0.0,SYNC,1,0,1,0,0,0,105.0,False,"C,B,01a8e34,31"
False,31,5,C,137,0.0,31,1,0,0,0.0,SYNC,1,0,1,0,0,0,105.0,False,"C,B,01a8e34,31"
False,31,5,C,137,0.0,31,1,0,0,0.0,SYNC,1,0,1,0,0,0,105.0,False,"C,B,01a8e34,31"
False,15,5,C,36,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,35.0,False,"C,AB,b187f1e,2-C,AB,4b6fdb8,2-C,AB,443ec2c,2-C,AB,2a5dae5,2"
False,15,5,C,37,0.0,2,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,b187f1e,2-C,AB,4b6fdb8,2-C,AB,443ec2c,2-C,AB,2a5dae5,2"
False,15,5,C,75,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,14.8,False,"C,AB,b187f1e,2-C,AB,4b6fdb8,2-C,AB,443ec2c,2-C,AB,2a5dae5,2"
False,15,5,C,190,0.0,2,4,1,1,0.0,SYNC,4,0,4,0,0,0,103.1,False,"C,AB,b187f1e,2-C,AB,4b6fdb8,2-C,AB,443ec2c,2-C,AB,2a5dae5,2"
False,32,3,I,125,0.0,1,1,0,0,0.0,INC,0,1,0,1,0,0,81.1,False,"I,B,7d89a73,1"
False,6,6,I,92,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,56.9,False,"I,A,ca109bb,2-I,A,cbb99ff,2-I,A,a3069da,1-I,A,0ce8853,10"
False,6,6,I,98,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,3.3,False,"I,A,ca109bb,2-I,A,cbb99ff,2-I,A,a3069da,1-I,A,0ce8853,10"
