CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,33,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,1.6,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,15,0.0,14,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,I,113,0.0,50,3,1,1,0.0,DIV,2,1,2,0,0,1,15.8,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,1.6,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,15,0.0,14,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,I,113,0.0,50,3,1,1,0.0,DIV,2,1,2,0,0,1,15.8,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,1.6,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,15,0.0,14,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,I,113,0.0,50,3,1,1,0.0,DIV,2,1,2,0,0,1,15.8,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,1.6,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,15,0.0,14,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,I,113,0.0,50,3,1,1,0.0,DIV,2,1,2,0,0,1,15.8,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,14,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,1.6,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,C,15,0.0,14,2,1,1,0.0,SYNC,2,0,2,0,0,0,0.0,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
False,33,7,I,113,0.0,50,3,1,1,0.0,DIV,2,1,2,0,0,1,15.8,False,"C,AB,d5d92ae,2-C,AB,e50a736,14-I,AB,4f276cf,50"
