CFltFix,cloc,CPathDepth,CCurSt,experience,EFltDens,TChurn,TPC,NumOfBursts,SLBurst,CFltRate,EEvPattern,EConChg,EIncChg,EConStChg,EIncStChg,EFltsConStChg,EFltIncStChg,EChgTimeInt,buggy,gen
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,402,0.0,2,1,0,0,0.0,INC,0,1,0,1,0,0,676.5,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,419,0.0,2,2,0,0,0.0,INC,0,2,0,2,0,0,6.1,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,17,7,I,420,0.0,2,3,1,1,0.0,INC,0,3,0,3,0,0,0.3,False,"I,AB,a70afdfde,2-I,AB,47a0e1b71,2-I,AB,60af29e59,2"
False,16,7,C,402,0.0,2,1,0,0,0.0,SYNC,1,0,1,0,0,0,676.5,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,419,0.0,2,2,0,0,0.0,SYNC,2,0,2,0,0,0,6.1,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
False,16,7,C,420,0.0,2,3,1,1,0.0,SYNC,3,0,3,0,0,0,0.3,False,"C,AB,a70afdfde,2-C,AB,47a0e1b71,2-C,AB,60af29e59,2"
